,AMAZON,NEW,USED,COUNT_NEW,BUY_BOX_SHIPPING,SALES,LISTPRICE,COUNT_REVIEWS,NEW_FBA,RATING
2021-12-10 05:48:00-05:00,12.99,12.99,,1.0,12.99,102585.0,12.99,1.0,23.98,5.0
2021-12-10 10:32:00-05:00,12.99,12.99,,1.0,12.99,102585.0,12.99,1.0,23.98,5.0
2021-12-11 08:04:00-05:00,12.99,12.99,,1.0,12.99,102585.0,12.99,1.0,23.98,5.0
2021-12-12 09:00:00-05:00,12.99,12.99,,1.0,12.99,102585.0,12.99,1.0,23.98,5.0
2021-12-14 09:04:00-05:00,12.99,12.99,,1.0,12.99,102585.0,12.99,1.0,23.98,5.0
2021-12-14 14:08:00-05:00,12.99,12.99,,1.0,12.99,105296.0,12.99,1.0,23.98,5.0
2021-12-15 10:40:00-05:00,12.99,12.99,,1.0,12.99,100838.0,12.99,1.0,23.98,5.0
2021-12-16 04:10:00-05:00,12.99,12.99,,1.0,12.99,83260.0,12.99,1.0,23.98,5.0
2021-12-18 02:40:00-05:00,12.99,12.99,,1.0,12.99,115157.0,12.99,1.0,23.98,5.0
2021-12-18 04:48:00-05:00,12.99,12.99,,1.0,12.99,115056.0,12.99,1.0,23.98,5.0
2021-12-19 05:24:00-05:00,12.99,12.99,,1.0,12.99,128408.0,12.99,1.0,23.98,5.0
2021-12-19 18:14:00-05:00,12.99,12.99,,1.0,12.99,134237.0,12.99,1.0,23.98,5.0
2021-12-20 16:12:00-05:00,12.99,12.99,,1.0,12.99,142658.0,12.99,1.0,23.98,5.0
2021-12-20 18:24:00-05:00,12.99,12.99,,1.0,12.99,143929.0,12.99,1.0,23.98,5.0
2021-12-21 11:00:00-05:00,12.99,12.99,,1.0,12.99,148726.0,12.99,1.0,23.98,5.0
2021-12-23 08:04:00-05:00,12.99,12.99,,1.0,12.99,63798.0,12.99,1.0,23.98,5.0
2021-12-24 04:40:00-05:00,12.99,12.99,,1.0,12.99,77911.0,12.99,1.0,23.98,5.0
2021-12-24 06:12:00-05:00,12.99,12.99,,1.0,12.99,79181.0,12.99,1.0,23.98,5.0
2021-12-24 13:08:00-05:00,12.99,12.99,,1.0,12.99,81101.0,12.99,1.0,23.98,5.0
2021-12-25 11:58:00-05:00,12.99,12.99,,1.0,12.99,88432.0,12.99,1.0,23.98,5.0
2021-12-30 00:30:00-05:00,12.99,12.99,,1.0,12.99,127272.0,12.99,1.0,23.98,5.0
2021-12-30 14:54:00-05:00,12.99,12.99,,1.0,12.99,47902.0,12.99,1.0,23.98,5.0
2021-12-31 02:44:00-05:00,12.99,12.99,,1.0,12.99,72280.0,12.99,1.0,23.98,5.0
2021-12-31 15:36:00-05:00,12.99,12.99,,1.0,12.99,85143.0,12.99,1.0,23.98,5.0
2022-01-06 14:08:00-05:00,12.99,12.99,,1.0,12.99,49990.0,12.99,1.0,23.98,5.0
