,AMAZON,NEW,USED,RATING,COUNT_REVIEWS,SALES,COUNT_NEW,BUY_BOX_SHIPPING,LISTPRICE,NEW_FBA
2022-05-05 14:08:00-04:00,6.99,6.99,,4.8,17315.0,125.0,1.0,6.99,6.99,7.5
2022-05-06 09:32:00-04:00,6.99,6.99,,4.8,17315.0,125.0,1.0,6.99,6.99,7.5
2022-05-06 14:44:00-04:00,6.99,6.99,,4.8,17315.0,125.0,1.0,6.99,6.99,7.5
2022-05-06 16:04:00-04:00,6.99,6.99,,4.8,17315.0,125.0,1.0,6.99,6.99,7.5
2022-05-07 07:52:00-04:00,6.99,6.99,,4.8,17315.0,36451.0,1.0,6.99,6.99,7.5
2022-05-07 17:16:00-04:00,6.99,6.99,,4.8,17315.0,563.0,1.0,6.99,6.99,7.5
2022-05-07 20:16:00-04:00,6.99,6.99,,4.8,17315.0,549.0,1.0,6.99,6.99,7.5
2022-05-07 23:16:00-04:00,6.99,6.99,,4.8,17315.0,513.0,1.0,6.99,6.99,7.5
2022-05-08 03:28:00-04:00,6.99,6.99,,4.8,17315.0,516.0,1.0,6.99,6.99,7.5
2022-05-08 05:32:00-04:00,6.99,6.99,,4.8,17315.0,536.0,1.0,6.99,6.99,7.5
2022-05-08 13:52:00-04:00,6.99,6.99,,4.8,17315.0,538.0,1.0,6.99,6.99,7.5
2022-05-09 00:02:00-04:00,6.99,6.99,,4.8,17315.0,551.0,1.0,6.99,6.99,7.5
2022-05-09 02:40:00-04:00,6.99,6.99,,4.8,17315.0,565.0,1.0,6.99,6.99,7.5
2022-05-09 05:56:00-04:00,6.99,6.99,,4.8,17315.0,596.0,1.0,6.99,6.99,7.5
2022-05-09 14:52:00-04:00,6.99,6.99,,4.8,17315.0,533.0,1.0,6.99,6.99,7.5
2022-05-09 19:30:00-04:00,6.99,6.99,,4.8,17315.0,515.0,1.0,6.99,6.99,7.5
2022-05-09 22:52:00-04:00,6.99,6.99,,4.8,17315.0,513.0,1.0,6.99,6.99,7.5
2022-05-10 02:24:00-04:00,6.99,6.99,,4.8,17315.0,468.0,1.0,6.99,6.99,7.5
2022-05-10 04:12:00-04:00,6.99,6.99,,4.8,17315.0,505.0,1.0,6.99,6.99,7.5
2022-05-10 07:30:00-04:00,6.99,6.99,,4.8,17315.0,522.0,1.0,6.99,6.99,7.5
2022-05-10 13:08:00-04:00,6.99,6.99,,4.8,17315.0,497.0,1.0,6.99,6.99,7.5
2022-05-11 01:10:00-04:00,6.99,6.99,,4.8,17315.0,500.0,1.0,6.99,6.99,7.5
2022-05-11 07:04:00-04:00,6.99,6.99,,4.8,17315.0,530.0,1.0,6.99,6.99,7.5
2022-05-11 13:28:00-04:00,6.99,6.99,,4.8,17315.0,569.0,1.0,6.99,6.99,7.5
2022-05-11 19:52:00-04:00,6.99,6.99,,4.8,17315.0,503.0,1.0,6.99,6.99,7.5
2022-05-12 04:18:00-04:00,6.99,6.99,,4.8,17315.0,499.0,1.0,6.99,6.99,7.5
2022-05-12 13:40:00-04:00,6.99,6.99,,4.8,17315.0,563.0,1.0,6.99,6.99,7.5
2022-05-13 00:28:00-04:00,6.99,6.99,,4.8,17315.0,501.0,1.0,6.99,6.99,7.5
2022-05-13 02:26:00-04:00,6.99,6.99,,4.8,17315.0,505.0,1.0,6.99,6.99,7.5
