,AMAZON,NEW,USED,SALES,LISTPRICE,COUNT_NEW,NEW_FBA,BUY_BOX_SHIPPING,COUNT_REVIEWS,RATING
2019-06-20 16:28:00-04:00,,9.99,11.95,60827.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-21 02:40:00-04:00,,9.99,11.95,76441.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-21 19:44:00-04:00,,9.99,11.95,19410.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-22 20:52:00-04:00,,9.99,11.95,28904.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 00:56:00-04:00,,9.99,11.95,24557.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 03:28:00-04:00,,9.99,11.95,26567.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 03:30:00-04:00,,9.99,11.95,26567.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 11:58:00-04:00,,9.99,11.95,9660.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 13:02:00-04:00,,9.99,11.95,10806.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 15:46:00-04:00,,9.99,11.95,8620.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-23 17:32:00-04:00,,9.99,11.95,8946.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-24 05:58:00-04:00,,9.99,11.95,8802.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-24 17:52:00-04:00,,9.99,11.95,11464.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-24 21:22:00-04:00,,9.99,11.95,10990.0,15.99,1.0,9.99,9.99,1.0,5.0
2019-06-25 05:36:00-04:00,,16.99,11.95,13593.0,16.99,1.0,9.99,9.99,1.0,5.0
2019-06-25 09:12:00-04:00,,16.99,11.95,13862.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-25 18:30:00-04:00,,16.99,11.95,16374.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-25 22:24:00-04:00,,16.99,11.95,12297.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-26 01:28:00-04:00,,16.99,11.95,10337.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-26 04:24:00-04:00,,16.99,11.95,10229.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-26 20:08:00-04:00,,16.99,11.95,12299.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-27 04:18:00-04:00,,16.99,11.95,9992.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-27 06:24:00-04:00,,16.99,11.95,10681.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-27 10:46:00-04:00,,16.99,11.95,11018.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-27 23:54:00-04:00,,16.99,11.95,17428.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 04:24:00-04:00,,16.99,11.95,19867.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 11:16:00-04:00,,16.99,11.95,17874.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 13:30:00-04:00,,16.99,11.95,15106.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 14:36:00-04:00,,16.99,11.95,15578.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 19:04:00-04:00,,16.99,11.95,11786.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-28 23:20:00-04:00,,16.99,11.95,11310.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-29 03:44:00-04:00,,16.99,11.95,14177.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-29 15:34:00-04:00,,16.99,11.95,14570.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-06-30 04:14:00-04:00,,16.99,11.95,16713.0,16.99,1.0,16.99,16.99,1.0,5.0
2019-07-01 03:40:00-04:00,,9.99,11.95,11886.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-01 05:08:00-04:00,,9.99,11.95,11172.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-01 07:24:00-04:00,,9.99,11.95,11569.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-01 09:48:00-04:00,,9.99,11.95,12059.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-01 16:56:00-04:00,,9.99,11.95,11356.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-02 04:32:00-04:00,,9.99,11.95,10666.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-02 13:34:00-04:00,,9.99,11.95,9918.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-03 03:56:00-04:00,,9.99,11.95,17049.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-03 06:54:00-04:00,,9.99,11.95,17849.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-03 10:20:00-04:00,,9.99,11.95,17840.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-03 12:00:00-04:00,,9.99,11.95,18026.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-03 22:34:00-04:00,,9.99,11.95,17932.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-04 01:24:00-04:00,,9.99,11.95,20236.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-04 04:32:00-04:00,,9.99,11.95,12345.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-04 06:56:00-04:00,,9.99,11.95,12786.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-04 09:40:00-04:00,,9.99,11.95,13432.0,9.99,1.0,9.99,9.99,1.0,5.0
2019-07-04 14:14:00-04:00,,9.99,11.95,11164.0,9.99,1.0,9.99,9.99,1.0,5.0
