,AMAZON,NEW,USED,COUNT_NEW,BUY_BOX_SHIPPING,SALES,LISTPRICE,NEW_FBA,COUNT_REVIEWS,RATING
2022-02-21 14:28:00-05:00,25.88,25.88,44.9,1.0,25.88,94320.0,27.98,73.1,1.0,5.0
2022-02-21 18:36:00-05:00,25.88,25.88,44.9,1.0,25.88,94320.0,27.98,73.1,1.0,5.0
2022-02-25 17:44:00-05:00,26.67,26.67,44.9,1.0,26.67,94320.0,27.98,73.1,1.0,5.0
2022-03-02 04:44:00-05:00,26.67,26.67,44.9,1.0,26.67,94320.0,27.98,73.1,1.0,5.0
2022-03-07 16:00:00-05:00,26.67,26.67,44.9,1.0,26.67,94320.0,27.98,73.1,1.0,5.0
2022-03-12 11:16:00-05:00,25.49,25.49,44.9,1.0,25.49,94320.0,27.98,73.1,1.0,5.0
2022-03-12 12:50:00-05:00,25.49,25.49,44.9,1.0,25.49,96682.0,27.98,73.1,1.0,5.0
2022-03-13 11:48:00-04:00,25.49,25.49,44.9,1.0,25.49,111976.0,27.98,73.1,1.0,5.0
2022-03-13 20:28:00-04:00,25.49,25.49,44.9,1.0,25.49,118684.0,27.98,73.1,1.0,5.0
2022-03-13 22:00:00-04:00,25.49,25.49,44.9,1.0,25.49,121245.0,27.98,73.1,1.0,5.0
2022-03-14 03:48:00-04:00,25.49,25.49,44.9,1.0,25.49,123662.0,27.98,73.1,1.0,5.0
2022-03-14 20:42:00-04:00,25.49,25.49,44.9,1.0,25.49,134850.0,27.98,73.1,1.0,5.0
2022-03-15 09:34:00-04:00,25.49,25.49,44.9,1.0,25.49,143800.0,27.98,73.1,1.0,5.0
2022-03-15 20:32:00-04:00,25.49,25.49,44.9,1.0,25.49,150796.0,27.98,73.1,1.0,5.0
2022-03-16 01:48:00-04:00,25.49,25.49,44.9,1.0,25.49,153158.0,27.98,73.1,1.0,5.0
2022-03-16 05:46:00-04:00,25.49,25.49,44.9,1.0,25.49,157538.0,27.98,73.1,1.0,5.0
2022-03-16 12:52:00-04:00,25.49,25.49,44.9,1.0,25.49,161442.0,27.98,73.1,1.0,5.0
2022-03-16 18:08:00-04:00,25.49,25.49,44.9,1.0,25.49,163813.0,27.98,73.1,1.0,5.0
2022-03-16 20:24:00-04:00,25.49,25.49,44.9,1.0,25.49,166083.0,27.98,73.1,1.0,5.0
2022-03-17 12:54:00-04:00,25.49,25.49,44.9,1.0,25.49,65656.0,27.98,73.1,1.0,5.0
2022-03-17 19:24:00-04:00,25.49,25.49,44.9,1.0,25.49,49509.0,27.98,73.1,1.0,5.0
2022-03-17 22:32:00-04:00,25.49,25.49,44.9,1.0,25.49,38511.0,27.98,73.1,1.0,5.0
2022-03-18 11:36:00-04:00,25.49,25.49,44.9,1.0,25.49,55842.0,27.98,73.1,1.0,5.0
2022-03-18 20:08:00-04:00,25.49,25.49,44.9,1.0,25.49,66479.0,27.98,73.1,1.0,5.0
2022-03-18 22:52:00-04:00,25.49,25.49,44.9,1.0,25.49,45125.0,27.98,73.1,1.0,5.0
2022-03-19 11:16:00-04:00,25.49,25.49,44.9,1.0,25.49,46417.0,27.98,73.1,1.0,5.0
2022-03-19 15:24:00-04:00,25.49,25.49,44.9,1.0,25.49,51538.0,27.98,73.1,1.0,5.0
2022-03-19 20:08:00-04:00,25.49,25.49,44.9,1.0,25.49,47353.0,27.98,73.1,1.0,5.0
2022-03-20 02:44:00-04:00,25.49,25.49,44.9,1.0,25.49,58155.0,27.98,73.1,1.0,5.0
2022-03-20 06:40:00-04:00,25.49,25.49,44.9,1.0,25.49,59914.0,27.98,73.1,1.0,5.0
2022-03-20 12:12:00-04:00,25.49,25.49,44.9,1.0,25.49,59991.0,27.98,73.1,1.0,5.0
2022-03-20 20:08:00-04:00,25.49,25.49,44.9,1.0,25.49,72196.0,27.98,73.1,1.0,5.0
2022-03-21 14:24:00-04:00,25.49,25.49,44.9,1.0,25.49,62437.0,27.98,73.1,1.0,5.0
2022-03-21 20:08:00-04:00,25.49,25.49,44.9,1.0,25.49,35570.0,27.98,73.1,1.0,5.0
2022-03-21 23:12:00-04:00,25.49,25.49,44.9,1.0,25.49,41972.0,27.98,73.1,1.0,5.0
2022-03-22 14:04:00-04:00,25.81,25.81,44.9,1.0,25.81,22860.0,27.98,73.1,1.0,5.0
2022-03-22 20:08:00-04:00,25.81,25.81,44.9,1.0,25.81,20086.0,27.98,73.1,1.0,5.0
2022-03-23 06:04:00-04:00,25.81,25.81,44.9,1.0,25.81,26941.0,27.98,73.1,1.0,5.0
2022-03-23 13:00:00-04:00,25.81,25.81,44.9,1.0,25.81,28154.0,27.98,73.1,1.0,5.0
2022-03-23 20:08:00-04:00,25.81,25.81,44.9,1.0,25.81,38010.0,27.98,73.1,1.0,5.0
2022-03-24 07:28:00-04:00,25.81,25.81,44.9,1.0,25.81,48302.0,27.98,73.1,1.0,5.0
2022-03-24 20:16:00-04:00,25.81,25.81,44.9,1.0,25.81,56116.0,27.98,73.1,1.0,5.0
2022-03-25 06:56:00-04:00,25.81,25.81,44.9,1.0,25.81,65749.0,27.98,73.1,1.0,5.0
2022-03-25 16:32:00-04:00,25.81,25.81,44.9,1.0,25.81,67382.0,27.98,73.1,1.0,5.0
2022-03-25 20:04:00-04:00,25.81,25.81,44.9,1.0,25.81,70462.0,27.98,73.1,1.0,5.0
2022-03-26 20:04:00-04:00,25.81,25.81,44.9,1.0,25.81,81802.0,27.98,73.1,1.0,5.0
2022-03-27 14:52:00-04:00,25.81,25.81,44.9,1.0,25.81,88469.0,27.98,73.1,1.0,5.0
2022-03-27 20:04:00-04:00,25.81,25.81,44.9,1.0,25.81,92995.0,27.98,73.1,1.0,5.0
2022-03-27 22:02:00-04:00,25.81,25.81,44.9,1.0,25.81,94779.0,27.98,73.1,1.0,5.0
2022-03-28 18:08:00-04:00,25.81,25.81,44.9,1.0,25.81,98663.0,27.98,73.1,1.0,5.0
2022-03-28 20:06:00-04:00,25.81,25.81,44.9,1.0,25.81,100011.0,27.98,73.1,1.0,5.0
2022-03-29 12:40:00-04:00,25.81,25.81,44.9,1.0,25.81,103984.0,27.98,73.1,1.0,5.0
2022-03-29 20:08:00-04:00,25.81,25.81,44.9,1.0,25.81,106008.0,27.98,73.1,1.0,5.0
2022-03-30 00:30:00-04:00,25.81,25.81,44.9,1.0,25.81,106864.0,27.98,73.1,1.0,5.0
2022-03-30 20:10:00-04:00,26.7,26.7,44.9,1.0,26.7,37691.0,27.98,73.1,1.0,5.0
2022-03-30 21:52:00-04:00,26.7,26.7,44.9,1.0,26.7,62925.0,27.98,73.1,1.0,5.0
2022-03-31 00:30:00-04:00,26.7,26.7,44.9,1.0,26.7,46902.0,27.98,73.1,1.0,5.0
2022-03-31 10:24:00-04:00,26.72,26.72,44.9,1.0,26.72,56818.0,27.98,73.1,1.0,5.0
2022-03-31 16:12:00-04:00,26.72,26.72,44.9,1.0,26.72,20690.0,27.98,73.1,1.0,5.0
2022-03-31 20:12:00-04:00,26.72,26.72,44.9,1.0,26.72,25706.0,27.98,73.1,1.0,5.0
2022-04-01 03:06:00-04:00,26.72,26.72,44.9,1.0,26.72,35667.0,27.98,73.1,1.0,5.0
2022-04-01 14:16:00-04:00,26.72,26.72,44.9,1.0,26.72,41586.0,27.98,73.1,1.0,5.0
2022-04-01 20:04:00-04:00,26.72,26.72,44.9,1.0,26.72,53690.0,27.98,73.1,1.0,5.0
2022-04-02 14:20:00-04:00,26.72,26.72,44.9,1.0,26.72,63262.0,27.98,73.1,1.0,5.0
2022-04-02 20:02:00-04:00,26.72,26.72,44.9,1.0,26.72,70778.0,27.98,73.1,1.0,5.0
2022-04-03 05:32:00-04:00,26.72,26.72,44.9,1.0,26.72,77056.0,27.98,73.1,1.0,5.0
2022-04-03 12:08:00-04:00,26.72,26.72,44.9,1.0,26.72,77692.0,27.98,73.1,1.0,5.0
2022-04-03 20:04:00-04:00,26.72,26.72,44.9,1.0,26.72,83833.0,27.98,73.1,1.0,5.0
2022-04-04 00:44:00-04:00,26.72,26.72,44.9,1.0,26.72,86225.0,27.98,73.1,1.0,5.0
2022-04-04 04:36:00-04:00,26.72,26.72,44.9,1.0,26.72,88744.0,27.98,73.1,1.0,5.0
2022-04-04 10:38:00-04:00,26.56,26.56,44.9,1.0,26.56,89748.0,27.98,73.1,1.0,5.0
2022-04-04 16:20:00-04:00,26.56,26.56,44.9,1.0,26.56,30468.0,27.98,73.1,1.0,5.0
2022-04-04 20:00:00-04:00,26.56,26.56,44.9,1.0,26.56,13873.0,27.98,73.1,1.0,5.0
2022-04-04 23:00:00-04:00,26.56,26.56,44.9,1.0,26.56,17233.0,27.98,73.1,1.0,5.0
2022-04-05 02:04:00-04:00,26.56,26.56,44.9,1.0,26.56,18855.0,27.98,73.1,1.0,5.0
2022-04-05 05:32:00-04:00,26.56,26.56,44.9,1.0,26.56,21712.0,27.98,73.1,1.0,5.0
2022-04-05 08:56:00-04:00,26.56,26.56,44.9,1.0,26.56,20059.0,27.98,73.1,1.0,5.0
2022-04-05 10:24:00-04:00,26.56,26.56,44.9,1.0,26.56,21658.0,27.98,73.1,1.0,5.0
2022-04-05 16:38:00-04:00,26.56,26.56,44.9,1.0,26.56,14105.0,27.98,73.1,1.0,5.0
2022-04-05 20:06:00-04:00,26.56,26.56,44.9,1.0,26.56,15900.0,27.98,73.1,1.0,5.0
2022-04-05 23:22:00-04:00,26.56,26.56,44.9,1.0,26.56,16012.0,27.98,73.1,1.0,5.0
2022-04-06 17:26:00-04:00,26.67,26.67,44.9,1.0,26.67,17283.0,27.98,73.1,1.0,5.0
2022-04-06 19:04:00-04:00,26.67,26.67,44.9,1.0,26.67,16529.0,27.98,73.1,1.0,5.0
2022-04-06 21:24:00-04:00,26.67,26.67,44.9,1.0,26.67,17738.0,27.98,73.1,1.0,5.0
2022-04-07 02:40:00-04:00,26.67,26.67,44.9,1.0,26.67,16227.0,27.98,73.1,1.0,5.0
2022-04-07 06:52:00-04:00,26.69,26.69,44.9,1.0,26.69,16891.0,27.98,73.1,1.0,5.0
2022-04-07 08:28:00-04:00,26.69,26.69,44.9,1.0,26.69,16140.0,27.98,73.1,1.0,5.0
2022-04-07 12:40:00-04:00,26.69,26.69,44.9,1.0,26.69,13099.0,27.98,73.1,1.0,5.0
2022-04-07 13:04:00-04:00,26.69,26.69,44.9,1.0,26.69,13080.0,27.98,73.1,1.0,5.0
2022-04-07 20:12:00-04:00,26.69,26.69,44.9,1.0,26.69,13347.0,27.98,73.1,1.0,5.0
2022-04-07 23:52:00-04:00,26.69,26.69,44.9,1.0,26.69,12598.0,27.98,73.1,1.0,5.0
2022-04-08 11:36:00-04:00,26.69,26.69,44.9,1.0,26.69,13374.0,27.98,73.1,1.0,5.0
2022-04-08 20:02:00-04:00,26.69,26.69,44.9,1.0,26.69,14202.0,27.98,73.1,1.0,5.0
2022-04-08 20:48:00-04:00,26.69,26.69,44.9,1.0,26.69,13162.0,27.98,73.1,1.0,5.0
2022-04-09 04:56:00-04:00,26.73,26.73,44.9,1.0,26.73,15852.0,27.98,73.1,1.0,5.0
