Timestamp,ASIN,Title,Brand,Manufacturer,AMAZON,NEW,USED,SALES
2011-01-01 00:35:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1338,0.1375,,215
2011-01-01 00:36:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1407,0.1364,,217
2011-01-01 00:37:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1462,0.1292,,218
2011-01-01 00:38:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1478,0.1143,,192
2011-01-01 00:39:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1436,0.1375,,181
2011-01-01 00:40:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1478,0.1349,,178
2011-01-01 00:41:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1421,0.11710000000000001,,181
2011-01-01 00:42:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1444,0.1143,,195
2011-01-01 00:43:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1465,0.11720000000000001,,208
2011-01-01 00:44:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.14800000000000002,0.1375,,225
2011-01-01 00:45:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.153,0.11720000000000001,,206
2011-01-01 00:46:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1487,0.1379,,189
2011-01-01 00:47:00,B071WWY2VB,"Hanes Men's Pullover EcoSmart Hooded Sweatshirt, ash, Large",Hanes,Hanes Branded Printwear,0.1494,0.11720000000000001,,204
